uid,restaurant,row_in_file,item_name,vegan,vegetarian,mpbamod,lamb,chunked_beef_or_pork,pulled_pork,beef_or_pork_burger,ground_meat,meatballs,sausage,bacon,breakfast_sausage_patty,unfried_chicken,fried_chicken,savory_dairy,sweet_dairy,egg,draw_order
191,ED5J990H5VAZT,28,Danish Blueberry,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,0
23,2HRX9P6HKXA8V,7,Potato Chips,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
115,L69HYJ4Y3TR91,0,Breakfast Sandwich,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
335,W8T41JZK0ZMEP,103,Pineapple Coconut Rice Bowl,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
292,W8T41JZK0ZMEP,60,Banh Mi,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,4
6,SRQS8F7JWA9MZ,6,The Alternative,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
17,2HRX9P6HKXA8V,1,Warm Bavarian Pretzel,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,6
213,ED5J990H5VAZT,50,Egg,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,7
63,JHDN7CF1C03X5,20,Chicken Caesar Wrap,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,8
82,JHDN7CF1C03X5,39,Quinoa Chickpeas,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9
51,JHDN7CF1C03X5,8,Mango Mania,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,10
315,W8T41JZK0ZMEP,83,Lion'S Mane Crab Cakes,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,11
4,SRQS8F7JWA9MZ,4,Gold Standard - Impossible,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,12
323,W8T41JZK0ZMEP,91,Almond Pear Cake,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,13
346,W8T41JZK0ZMEP,114,Vegan Gf Cake Slice,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,14
22,2HRX9P6HKXA8V,6,German Potato Salad,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,15
128,L69HYJ4Y3TR91,13,Grilled Chicken Sandwich,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,16
125,L69HYJ4Y3TR91,10,Driving-Me-Hazy ASsa Bowl,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,17
0,SRQS8F7JWA9MZ,0,Gold Standard - Bacon,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,18
159,L69HYJ4Y3TR91,44,Spinach Cheese Croissant,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,19
353,W8T41JZK0ZMEP,121,Pb Chocolate Cake,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,20
94,JHDN7CF1C03X5,51,The Lenny,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21
131,L69HYJ4Y3TR91,16,Gourmet Grilled Cheese,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,22
154,L69HYJ4Y3TR91,39,Butter Croissant,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,23
72,JHDN7CF1C03X5,29,Mediterranean Salad,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,24
146,L69HYJ4Y3TR91,31,Keto Cinnamon Rolls,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,25
340,W8T41JZK0ZMEP,108,Beet Burger,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,26
171,ED5J990H5VAZT,8,The Jesse Sandwich,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,27
158,L69HYJ4Y3TR91,43,Spinach Quiche,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,28
356,W8T41JZK0ZMEP,124,Roasted Beet Sweet Potato Salad,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,29
95,JHDN7CF1C03X5,52,Vegan Combo Meal,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,30
105,JHDN7CF1C03X5,62,Moroccan Glow Bowl,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,31
