Outcome,Effect,Median_t,Q2.5_t,Q97.5_t,Rhat,ci
total,Level,0.0112837,-0.0467949475,0.08208936,1.00372234765838,"0.011 [-0.047, 0.082]"
total,Slope,0.02188915,-0.06217611,0.1253827,1.00382722145512,"0.022 [-0.062, 0.125]"
nonvegan,Level,0.0066053218,-0.0767412204,0.0808816877250001,1.03025788155072,"0.007 [-0.077, 0.081]"
nonvegan,Slope,0.00797584895,-0.060142250775,0.0968185383750001,1.061169794339,"0.008 [-0.060, 0.097]"
meat,Level,-0.011807331,-0.082638340575,0.0606304325,1.0058054170661,"-0.012 [-0.083, 0.061]"
meat,Slope,0.0366907985,-0.0488192769,0.12410684,1.0255959598793,"0.037 [-0.049, 0.124]"
chicken_fish,Level,0.0802115175,-0.022491820725,0.11597049025,2.79714950781998,"0.080 [-0.022, 0.116]"
chicken_fish,Slope,-0.0139010065,-0.017275322175,0.11675954,2.53378444887143,"-0.014 [-0.017, 0.117]"
vegan,Level,-0.005486835,-0.03923432,0.0233806675,1.00187155161884,"-0.005 [-0.039, 0.023]"
vegan,Slope,-0.00642793,-0.0347482225,0.035124565,1.02677503231156,"-0.006 [-0.035, 0.035]"
vegetarian,Level,-0.0125409525,-0.08371025815,0.078435068875,1.01563977836808,"-0.013 [-0.084, 0.078]"
vegetarian,Slope,0.00878631155,-0.0926084947,0.11737197625,1.00295013986364,"0.009 [-0.093, 0.117]"
