estimate,std_error,t_value,p_value,term,ci_lower,ci_upper,location_id,n_obs,n_customers,analysis,outcome_name,n_restaurants
-0.015625912472453964,0.05117305901812734,-0.3053542776662756,0.760096340952893,day_of_week_cat4,-0.11592510814798354,0.08467328320307563,ED5J990H5VAZT,16649,1359,A5,meat,NA
-0.06549653882317288,0.033189961513859195,-1.9733839943087421,0.04845182977087138,day_of_week_cat5,-0.1305488633903369,-4.442142560088652e-4,ED5J990H5VAZT,16649,1359,A5,meat,NA
-0.010211717095250252,0.015766075546343565,-0.6477019005289831,0.5171777747796089,inflation,-0.041113225166083636,0.020689790975583135,ED5J990H5VAZT,16649,1359,A5,meat,NA
0.0011594056994689384,7.789141702235828e-4,1.4884896742039468,0.13662180327649195,exposure_ED5J990H5VAZT_1:date_code,-3.6726607416928377e-4,0.0026860774731071605,ED5J990H5VAZT,16649,1359,A5,meat,NA
-0.1817924777033254,0.08343035846770382,-2.178972750952495,0.029333692541170957,exposure_ED5J990H5VAZT_1:gendermale,-0.34531598030002486,-0.018268975106625923,ED5J990H5VAZT,16649,1359,A5,meat,NA
-0.04468928528535418,0.1361556197450401,-0.32822211355680847,0.7427437289701053,any_exposureTRUE,-0.3115542999856328,0.2221757294149244,pooled,66784,5836,A5,meat,4
-9.09012444890135e-5,6.712992027474183e-5,-1.3541092275543163,0.1757015327022178,vegan_price_real,-2.2247588822750747e-4,4.067339924948049e-5,pooled,66784,5836,A5,meat,4
0.0015360497441994946,6.22563637965993e-4,2.4672975588776676,0.013613717590039603,vegetarian_price_real,3.158250137861485e-4,0.0027562744746128407,pooled,66784,5836,A5,meat,4
0.0012719115722444707,2.684762186726116e-4,4.737520434893639,2.1634904682632153e-6,meat_price_real,7.456981836461519e-4,0.0017981249608427894,pooled,66784,5836,A5,meat,4
0.035840294950987464,0.023218757941923098,1.543592255909404,0.12268714226039051,weekend,-0.009668470615181807,0.08134906051715673,pooled,66784,5836,A5,meat,4
0.06330234817874097,0.057770676363754575,1.0957522425418058,0.2731872133532325,holiday_window,-0.04992817749421799,0.17653287385169994,pooled,66784,5836,A5,meat,4
-0.0023815424009764256,0.03243657331704782,-0.07342151643758094,0.9414706961607606,month_cat2,-0.06595722610239015,0.0611941413004373,pooled,66784,5836,A5,meat,4
0.04796279188995791,0.059646370861771304,0.8041191978152411,0.42132813830142335,month_cat3,-0.06894409499911383,0.16486967877902967,pooled,66784,5836,A5,meat,4
0.03143883420223071,0.06957900096770057,0.4518437138358023,0.6513815755678776,month_cat4,-0.10493600769446243,0.16781367609892384,pooled,66784,5836,A5,meat,4
-0.0024459800336557543,0.08347077153148731,-0.029303431474010853,0.9766225901584931,month_cat5,-0.1660486922353709,0.16115673216805937,pooled,66784,5836,A5,meat,4
-0.009499520202692048,0.08426186582517103,-0.11273807088964691,0.9102382174372712,month_cat6,-0.17465277722002726,0.15565373681464317,pooled,66784,5836,A5,meat,4
-0.06001258545132164,0.1144218507524345,-0.5244853588425704,0.5999410005639834,month_cat7,-0.28427941292609327,0.16425424202344996,pooled,66784,5836,A5,meat,4
-0.05677813112427979,0.14426110548130086,-0.39357892714637055,0.693891941759764,month_cat8,-0.33952989786762944,0.22597363561906988,pooled,66784,5836,A5,meat,4
-0.08625494393481459,0.16170776487400237,-0.5334001369818063,0.5937566227061123,month_cat9,-0.4032021630878592,0.23069227521823005,pooled,66784,5836,A5,meat,4
-0.08420170039223737,0.1688424075330424,-0.49869995117049687,0.6179907790079522,month_cat10,-0.4151328191570004,0.24672941837252568,pooled,66784,5836,A5,meat,4
-0.07455508146728859,0.20826491328123364,-0.3579819581352718,0.7203568153719226,month_cat11,-0.48275431149850656,0.3336441485639293,pooled,66784,5836,A5,meat,4
-0.13486816085387582,0.215490935477003,-0.6258646590184246,0.5314037167989987,month_cat12,-0.5572303943888017,0.28749407268105004,pooled,66784,5836,A5,meat,4
0.2521720455922171,1.6106094865131269,0.15656932838397375,0.8755842767684168,year_cat2016,-2.9046225479735117,3.4089666391579456,pooled,66784,5836,A5,meat,4
0.6773156823202435,1.4002747264819995,0.48370199755151433,0.6285973753509992,year_cat2017,-2.0672227815844755,3.4218541462249625,pooled,66784,5836,A5,meat,4
0.3854251055699197,1.1539296939625685,0.3340109086250988,0.7383713270503365,year_cat2018,-1.8762770945967144,2.6471273057365536,pooled,66784,5836,A5,meat,4
0.3626376583386042,0.9082986761952099,0.39924935249015686,0.689709481867181,year_cat2019,-1.417627747004007,2.1429030636812154,pooled,66784,5836,A5,meat,4
0.3029232096859574,0.7451482940428186,0.4065274148887073,0.6843551177758301,year_cat2020,-1.157567446637967,1.7634138660098817,pooled,66784,5836,A5,meat,4
0.17082450568074506,0.5051122531138992,0.33819117360082207,0.7352191268591005,year_cat2021,-0.8191955104224974,1.1608445217839876,pooled,66784,5836,A5,meat,4
-0.011308929113492251,0.2864489675801876,-0.0394797342403633,0.9685079106518888,year_cat2022,-0.5727489055706599,0.5501310473436755,pooled,66784,5836,A5,meat,4
-2.770380909594772e-4,5.565655612008204e-4,-0.49776362439988653,0.6186506574848569,date_code,-0.001367906590913085,8.138304089941306e-4,pooled,66784,5836,A5,meat,4
-0.001997516946381301,0.020079403987011236,-0.09948088836070208,0.9207564614998592,day_of_week_cat1,-0.04135314876092332,0.03735811486816072,pooled,66784,5836,A5,meat,4
-0.014597085131169033,0.017359193560003944,-0.8408849800949921,0.40041237358766485,day_of_week_cat2,-0.04862110450877677,0.0194269342464387,pooled,66784,5836,A5,meat,4
0.014448733448819742,0.0118289348916194,1.2214737490064658,0.2219066989591937,day_of_week_cat3,-0.008735978938754283,0.03763344583639377,pooled,66784,5836,A5,meat,4
0.016640377049131502,0.01471290024486958,1.1310059044907912,0.25805260626932863,day_of_week_cat4,-0.012196907430812875,0.04547766152907588,pooled,66784,5836,A5,meat,4
-0.010869041164668304,0.023423518105651988,-0.46402257404901337,0.6426315724179372,day_of_week_cat5,-0.0567791366517462,0.035041054322409594,pooled,66784,5836,A5,meat,4
0.01153385094217606,0.0041853581430987925,2.755762003592009,0.005855558654954117,inflation,0.003330548981702427,0.019737152902649692,pooled,66784,5836,A5,meat,4
2.0115005674927237e-5,5.969267541519435e-5,0.33697611197716737,0.736134907909777,any_exposureTRUE:date_code,-9.688263813885369e-5,1.3711264948870815e-4,pooled,66784,5836,A5,meat,4
-0.05742450561794755,0.053718597435712175,-1.0689874337592382,0.28507533181277483,any_exposureTRUE:gendermale,-0.1627129565919434,0.047863945356048314,pooled,66784,5836,A5,meat,4
