"table_id","tier","analysis","outcome_key","outcome_label","outcome_order","column","column_order","exposure","fit_dir","total_dir","gamma_index","n_rest","reported","suppress_reason","transform"
"t2_a1","T2","t2_a1_proportion","meat","Meat",2,"Count",1,"Vegan","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/vegan_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count",1,18,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","meat","Meat",2,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/vegetarian_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_count",1,18,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","meat","Meat",2,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/mpbamod_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop",1,18,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","meat","Meat",2,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/vegan_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_prop",1,18,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","meat","Meat",2,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/meat/vegetarian_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_prop",1,18,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","chicken_fish","Chicken & fish",3,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/mpbamod_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count",1,17,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","chicken_fish","Chicken & fish",3,"Count",1,"Vegan","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegan_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count",1,17,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","chicken_fish","Chicken & fish",3,"Count",1,"Vegetarian","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegetarian_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_count",1,17,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","chicken_fish","Chicken & fish",3,"Proportion",2,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/mpbamod_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_prop",1,17,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","chicken_fish","Chicken & fish",3,"Proportion",2,"Vegan","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegan_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_prop",1,17,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","chicken_fish","Chicken & fish",3,"Proportion",2,"Vegetarian","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/chicken_fish/vegetarian_dishes_prop","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegetarian_dishes_prop",1,17,TRUE,,"exp_p10"
"t2_a1","T2","t2_a1_proportion","vegetarian","Vegetarian",4,"Count",1,"Alt-Protein-Modifiable","model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/mpbamod_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/mpbamod_dishes_count",1,18,TRUE,,"exp"
"t2_a1","T2","t2_a1_proportion","vegetarian","Vegetarian",4,"Count",1,"Vegan","model_fits/finalized_redone_trunc/t2_a1_proportion/vegetarian/vegan_dishes_count","model_fits/finalized_redone_trunc_cp/t2_a1_proportion/total/vegan_dishes_count",1,18,TRUE,,"exp"
